ID,Idade,Genero,Estilo_Favorito,Horas_Ouvidas_Dia,Faixa_Etaria
1,53,Feminino,Sertanejo,3.3,Sênior (50+)
2,66,Masculino,MPB,5.8,Sênior (50+)
3,43,Masculino,MPB,2.4,Adulto (31-50)
4,29,Masculino,Sertanejo,3.0,Jovem Adulto (19-30)
5,57,Masculino,MPB,3.8,Sênior (50+)
6,22,Feminino,MPB,2.4,Jovem Adulto (19-30)
7,35,Feminino,Eletrônica,3.5,Adulto (31-50)
8,53,Masculino,MPB,4.8,Sênior (50+)
9,33,Feminino,Rock,6.1,Adulto (31-50)
10,37,Masculino,Funk,6.3,Adulto (31-50)
11,25,Masculino,Pop,6.7,Jovem Adulto (19-30)
12,25,Masculino,Rock,6.1,Jovem Adulto (19-30)
13,38,Masculino,MPB,5.6,Adulto (31-50)
14,67,Outro,Eletrônica,2.3,Sênior (50+)
15,50,Masculino,Sertanejo,3.5,Adulto (31-50)
16,54,Feminino,MPB,4.1,Sênior (50+)
17,38,Feminino,Eletrônica,1.1,Adulto (31-50)
18,17,Masculino,Funk,4.5,Teen (0-18)
19,36,Outro,MPB,3.8,Adulto (31-50)
20,67,Outro,Sertanejo,6.5,Sênior (50+)
21,16,Masculino,Eletrônica,7.8,Teen (0-18)
22,38,Feminino,Eletrônica,4.7,Adulto (31-50)
23,58,Masculino,Eletrônica,2.9,Sênior (50+)
24,44,Masculino,Funk,0.8,Adulto (31-50)
25,52,Masculino,MPB,7.4,Sênior (50+)
26,16,Feminino,Funk,7.4,Teen (0-18)
27,35,Feminino,Pop,2.4,Adulto (31-50)
28,47,Masculino,Pop,5.7,Adulto (31-50)
29,26,Masculino,MPB,1.1,Jovem Adulto (19-30)
30,36,Outro,Funk,1.7,Adulto (31-50)
31,58,Masculino,Sertanejo,2.1,Sênior (50+)
32,39,Masculino,Eletrônica,2.7,Adulto (31-50)
33,63,Feminino,Eletrônica,8.0,Sênior (50+)
34,41,Outro,MPB,5.7,Adulto (31-50)
35,56,Masculino,Pop,3.4,Sênior (50+)
36,42,Feminino,Pop,6.0,Adulto (31-50)
37,30,Feminino,Eletrônica,7.4,Jovem Adulto (19-30)
38,29,Masculino,MPB,7.7,Jovem Adulto (19-30)
39,61,Feminino,Funk,0.9,Sênior (50+)
40,65,Masculino,Pop,3.5,Sênior (50+)
41,58,Feminino,Funk,1.3,Sênior (50+)
42,69,Feminino,Pop,3.0,Sênior (50+)
43,66,Feminino,Pop,1.8,Sênior (50+)
44,17,Masculino,Rock,5.4,Teen (0-18)
45,51,Feminino,Pop,3.4,Sênior (50+)
46,65,Masculino,Sertanejo,2.2,Sênior (50+)
47,21,Masculino,MPB,2.5,Jovem Adulto (19-30)
48,35,Masculino,MPB,3.2,Adulto (31-50)
49,23,Feminino,Funk,2.4,Jovem Adulto (19-30)
50,53,Feminino,Pop,3.9,Sênior (50+)
51,32,Masculino,Sertanejo,0.7,Adulto (31-50)
52,18,Feminino,Funk,2.6,Teen (0-18)
53,39,Masculino,Rock,3.6,Adulto (31-50)
54,28,Feminino,Funk,5.0,Jovem Adulto (19-30)
55,64,Masculino,Funk,2.5,Sênior (50+)
56,23,Feminino,Pop,1.5,Jovem Adulto (19-30)
57,40,Masculino,Rock,1.1,Adulto (31-50)
58,67,Outro,Funk,7.6,Sênior (50+)
59,16,Masculino,Sertanejo,3.6,Teen (0-18)
60,34,Masculino,Sertanejo,4.9,Adulto (31-50)
61,42,Masculino,MPB,7.4,Adulto (31-50)
62,61,Outro,Rock,1.1,Sênior (50+)
63,21,Feminino,Rock,7.1,Jovem Adulto (19-30)
64,58,Masculino,MPB,4.6,Sênior (50+)
65,22,Feminino,Funk,1.7,Jovem Adulto (19-30)
66,61,Feminino,Rock,3.6,Sênior (50+)
67,49,Feminino,Sertanejo,6.3,Adulto (31-50)
68,28,Feminino,Sertanejo,4.1,Jovem Adulto (19-30)
69,31,Masculino,Pop,7.9,Adulto (31-50)
70,50,Masculino,Rock,3.3,Adulto (31-50)
71,64,Feminino,Funk,6.1,Sênior (50+)
72,54,Outro,MPB,3.4,Sênior (50+)
73,18,Feminino,MPB,6.7,Teen (0-18)
74,16,Masculino,Funk,4.8,Teen (0-18)
75,20,Masculino,Eletrônica,1.0,Jovem Adulto (19-30)
76,68,Feminino,Pop,0.8,Sênior (50+)
77,56,Feminino,MPB,1.5,Sênior (50+)
78,18,Feminino,Rock,0.6,Teen (0-18)
79,68,Feminino,Pop,1.1,Sênior (50+)
80,43,Feminino,Rock,5.7,Adulto (31-50)
81,32,Masculino,Sertanejo,4.5,Adulto (31-50)
82,40,Masculino,Pop,6.1,Adulto (31-50)
83,58,Feminino,MPB,7.3,Sênior (50+)
84,48,Feminino,Pop,4.9,Adulto (31-50)
85,24,Masculino,Pop,5.9,Jovem Adulto (19-30)
86,50,Masculino,Pop,6.2,Adulto (31-50)
87,28,Feminino,Eletrônica,3.3,Jovem Adulto (19-30)
88,45,Masculino,Pop,2.3,Adulto (31-50)
89,62,Masculino,Rock,2.0,Sênior (50+)
90,29,Feminino,Sertanejo,2.4,Jovem Adulto (19-30)
91,22,Feminino,Funk,2.6,Jovem Adulto (19-30)
92,28,Feminino,Pop,2.1,Jovem Adulto (19-30)
93,37,Masculino,MPB,7.1,Adulto (31-50)
94,54,Feminino,Pop,6.2,Sênior (50+)
95,35,Masculino,MPB,0.9,Adulto (31-50)
96,30,Masculino,Rock,2.5,Jovem Adulto (19-30)
97,59,Feminino,MPB,0.7,Sênior (50+)
98,32,Feminino,Funk,4.2,Adulto (31-50)
99,61,Feminino,Sertanejo,4.1,Sênior (50+)
100,67,Feminino,MPB,6.7,Sênior (50+)
101,38,Feminino,MPB,2.8,Adulto (31-50)
102,40,Masculino,Sertanejo,6.6,Adulto (31-50)
103,39,Masculino,Funk,7.8,Adulto (31-50)
104,59,Masculino,Pop,1.2,Sênior (50+)
105,55,Masculino,MPB,6.4,Sênior (50+)
106,43,Outro,Sertanejo,4.9,Adulto (31-50)
107,29,Masculino,Rock,4.1,Jovem Adulto (19-30)
108,59,Feminino,Sertanejo,3.7,Sênior (50+)
109,15,Feminino,Rock,6.4,Teen (0-18)
110,39,Feminino,Funk,5.3,Adulto (31-50)
111,21,Feminino,Pop,6.5,Jovem Adulto (19-30)
112,23,Feminino,Sertanejo,7.3,Jovem Adulto (19-30)
113,38,Feminino,Eletrônica,5.1,Adulto (31-50)
114,15,Masculino,MPB,7.9,Teen (0-18)
115,58,Feminino,Funk,5.1,Sênior (50+)
116,22,Masculino,Sertanejo,5.3,Jovem Adulto (19-30)
117,38,Masculino,MPB,4.7,Adulto (31-50)
118,25,Feminino,Sertanejo,1.2,Jovem Adulto (19-30)
119,65,Masculino,Rock,5.9,Sênior (50+)
120,31,Outro,Sertanejo,4.6,Adulto (31-50)
121,22,Outro,Eletrônica,3.9,Jovem Adulto (19-30)
122,49,Outro,Sertanejo,7.3,Adulto (31-50)
123,49,Masculino,Sertanejo,2.7,Adulto (31-50)
124,47,Masculino,Eletrônica,4.4,Adulto (31-50)
125,19,Outro,Funk,5.7,Jovem Adulto (19-30)
126,56,Masculino,Sertanejo,6.5,Sênior (50+)
127,53,Outro,Eletrônica,3.9,Sênior (50+)
128,55,Outro,MPB,6.8,Sênior (50+)
129,42,Feminino,Rock,6.3,Adulto (31-50)
130,21,Masculino,Rock,1.0,Jovem Adulto (19-30)
131,23,Masculino,Sertanejo,0.8,Jovem Adulto (19-30)
132,22,Feminino,Funk,5.2,Jovem Adulto (19-30)
133,26,Masculino,Funk,3.1,Jovem Adulto (19-30)
134,48,Masculino,MPB,2.1,Adulto (31-50)
135,47,Feminino,Sertanejo,4.8,Adulto (31-50)
136,62,Outro,Rock,3.1,Sênior (50+)
137,69,Feminino,Funk,4.5,Sênior (50+)
138,37,Feminino,Sertanejo,4.0,Adulto (31-50)
139,38,Masculino,Funk,4.9,Adulto (31-50)
140,51,Feminino,Eletrônica,3.5,Sênior (50+)
141,49,Outro,Funk,5.7,Adulto (31-50)
142,58,Masculino,Rock,1.9,Sênior (50+)
143,54,Feminino,Pop,5.7,Sênior (50+)
144,36,Feminino,MPB,3.6,Adulto (31-50)
145,41,Feminino,MPB,7.1,Adulto (31-50)
146,49,Feminino,Rock,4.4,Adulto (31-50)
147,15,Feminino,Funk,7.8,Teen (0-18)
148,49,Masculino,Sertanejo,5.0,Adulto (31-50)
149,51,Masculino,Funk,2.2,Sênior (50+)
150,61,Feminino,Rock,6.7,Sênior (50+)
151,28,Feminino,MPB,3.1,Jovem Adulto (19-30)
152,17,Feminino,Funk,3.1,Teen (0-18)
153,15,Outro,MPB,0.7,Teen (0-18)
154,19,Feminino,Sertanejo,4.6,Jovem Adulto (19-30)
155,40,Feminino,MPB,4.5,Adulto (31-50)
156,69,Feminino,MPB,3.2,Sênior (50+)
157,28,Feminino,Pop,7.2,Jovem Adulto (19-30)
158,53,Feminino,Pop,1.5,Sênior (50+)
159,41,Feminino,Eletrônica,3.0,Adulto (31-50)
160,23,Feminino,Pop,2.9,Jovem Adulto (19-30)
161,29,Masculino,MPB,1.2,Jovem Adulto (19-30)
162,29,Masculino,Rock,4.1,Jovem Adulto (19-30)
163,40,Masculino,MPB,5.7,Adulto (31-50)
164,56,Feminino,Rock,4.3,Sênior (50+)
165,27,Masculino,Rock,1.7,Jovem Adulto (19-30)
166,65,Feminino,Pop,3.3,Sênior (50+)
167,46,Feminino,Funk,0.5,Adulto (31-50)
168,53,Masculino,Sertanejo,7.0,Sênior (50+)
169,63,Feminino,Pop,1.1,Sênior (50+)
170,66,Masculino,Pop,5.0,Sênior (50+)
171,46,Masculino,Funk,7.9,Adulto (31-50)
172,18,Feminino,Sertanejo,4.5,Teen (0-18)
173,44,Masculino,MPB,7.4,Adulto (31-50)
174,51,Masculino,Eletrônica,2.3,Sênior (50+)
175,37,Feminino,Eletrônica,6.2,Adulto (31-50)
176,53,Feminino,MPB,4.5,Sênior (50+)
177,59,Masculino,Pop,5.9,Sênior (50+)
178,29,Feminino,Sertanejo,1.0,Jovem Adulto (19-30)
179,57,Masculino,Pop,1.6,Sênior (50+)
180,43,Masculino,Rock,1.5,Adulto (31-50)
181,50,Feminino,Pop,5.7,Adulto (31-50)
182,27,Feminino,Pop,6.8,Jovem Adulto (19-30)
183,46,Feminino,MPB,6.1,Adulto (31-50)
184,21,Feminino,MPB,0.7,Jovem Adulto (19-30)
185,65,Outro,MPB,7.0,Sênior (50+)
186,36,Feminino,Eletrônica,3.2,Adulto (31-50)
187,42,Masculino,Rock,3.5,Adulto (31-50)
188,16,Feminino,MPB,1.3,Teen (0-18)
189,56,Masculino,Sertanejo,6.0,Sênior (50+)
190,59,Masculino,Eletrônica,1.9,Sênior (50+)
191,67,Masculino,Funk,4.7,Sênior (50+)
192,20,Masculino,Sertanejo,6.8,Jovem Adulto (19-30)
193,42,Outro,Sertanejo,1.2,Adulto (31-50)
194,42,Feminino,MPB,4.5,Adulto (31-50)
195,58,Feminino,Funk,2.2,Sênior (50+)
196,58,Masculino,Funk,3.1,Sênior (50+)
197,34,Masculino,Eletrônica,4.1,Adulto (31-50)
198,44,Masculino,Funk,3.2,Adulto (31-50)
199,25,Masculino,Rock,5.4,Jovem Adulto (19-30)
200,69,Feminino,MPB,4.1,Sênior (50+)
